Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Asus VivoBook S 14 Flip TP3402VA Intel Core i ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 124,000"
Asus VivoBook 15X K3504VA Intel Core i5 1335U ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 106,500"
Asus VivoBook 15X K3504ZA Intel Core i5 1235U ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 91,500"
Microsoft Surface Laptop Go 3 Intel Core i5 1 ...,Core i5,12th (Intel),8GB,256GB SSD,Shared,12.4,"Tk 119,000"
MSI Modern 14 C12MO Intel Core i5 1235U 16GB ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 82,900"
MSI Modern 14 C12MO Intel Core i5 1235U 16GB ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 82,900"
MSI Modern 15 B12MO Intel Core i5 1235U 16GB ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 83,900"
MSI Modern 15 B12MO Intel Core i5 1235U 16GB ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 83,900"
Lenovo IdeaPad Slim 5 Light 14ABR8 AMD Ryzen ...,Ryzen 5,Not Applicable,16GB,512GB SSD,Shared,14,"Tk 108,000"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GBRAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, ...",Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,900"
Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8G ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 61,000 64,500"
Acer Aspire Lite AL15-51 Intel Core i5 1155G7 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 61,500 65,300"
Lenovo LOQ Gaming 15IRH8 Intel Core i7 13620H ...,Core i7,13th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 174,000"
Lenovo LOQ Gaming 15IRH8 Intel Core i7 13620H ...,Core i7,13th (Intel),16GB,512GB SSD,8GB,15.6,"Tk 190,000"
Lenovo LOQ Gaming 15IRH8 Intel Core i5 13420H ...,Core i5,13th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 128,000"
Lenovo Yoga 9i 14IRP8 Intel Core i7 1360P 16G ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,14,"Tk 268,000"
Asus VivoBook S15 S513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),16GB,512GB,2GB,15.6,"Tk 97,000"
Asus VivoBook S15 S513EQ Intel Core i5 1135G7 ...,Core i5,Not Applicable,16GB,512GB SSD,2GB,15.6,"Tk 97,000"
Asus VivoBook S15 S513EA Intel Core i5 1135G7 ...,Core i5,11th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 91,000"
Asus TUF Gaming A16 Advantage Edition FA617NS ...,Ryzen 7,Not Applicable,16GB,512GB,8GB,16,"Tk 169,900"
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),16GB,512GB SSD,2GB,15.6,"Tk 97,000"
Asus TUF Gaming A15 FA507XV AMD Ryzen 9 7940H ...,Ryzen 9,Not Applicable,8GB,512GB,8GB,15.6,"Tk 195,000"
Asus VivoBook 15 K513EQ Intel Core i5 1135G7 ...,Core i5,11th (Intel),16GB,512GB SSD,2GB,15.6,"Tk 97,000"
Lenovo Yoga Slim 6i 14IRH8 Intel Core i7 1370 ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 165,000"
Lenovo IdeaPad FLEX 5i 14IRU8 Intel Core i7 1 ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 160,000"
Lenovo IdeaPad FLEX 5i 14IAU7 Intel Core i7 1 ...,Core i7,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 150,000"
Lenovo Legion Pro 5i 16IRX8 Intel Core i7 137 ...,Core i7,13th (Intel),16GB,1TB,8GB,16,"Tk 257,000"
Lenovo Legion Pro 5i 16IRX8 Intel Core i7 137 ...,Core i7,13th (Intel),32GB,1TB,8GB,16,"Tk 288,000"
Lenovo IdeaPad FLEX 5i 14IAU7 Intel Core i5 1 ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 118,000"
Lenovo Legion Slim 7i 16IRH8 Intel Core i7 13 ...,Core i7,13th (Intel),16GB,1TB,8GB,16,"Tk 260,000"
Lenovo IdeaPad Pro 5i 16IRH8 Intel Core i7 13 ...,Core i7,13th (Intel),16GB,512GB SSD,6GB,16,"Tk 175,000"
Lenovo IdeaPad Slim 5i 16IRL8 Intel Core i7 1 ...,Core i7,13th (Intel),16GB,512GB,Shared,16,"Tk 140,000"
Lenovo IdeaPad Slim 5i 14IAH8 Intel Core i5 1 ...,Core i5,12th (Intel),16GB,512GB SSD,Shared,14,"Tk 95,000"
Apple MacBook Pro (Late 2023) Apple M3 Max 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,14.2,"Tk 450,000 (Estimated)"
Apple MacBook Pro (Late 2023) Apple M3 Max 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,14.2,"Tk 450,000 (Estimated)"
Apple MacBook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,1TB SSD,Shared,14.2,"Tk 340,000 (Estimated)"
Apple MacBook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,1TB SSD,Shared,14.2,"Tk 340,000 (Estimated)"
Apple MacBook Pro (Late 2023) Apple M3 Pro 18 ...,Apple M3,Not Applicable,18GB,512GB SSD,Shared,14.2,"Tk 285,000 (Estimated)"
